code,language,speakers,URIEL,learned,distance,name,joshi,family,l2v index,zeros in genetic distance,ones in genetic distance,rest in genetic distance,zeros in geographic distance,ones in geographic distance,rest in geographic distance,zeros in syntactic distance,ones in syntactic distance,rest in syntactic distance,zeros in inventory distance,ones in inventory distance,rest in inventory distance,zeros in phonological distance,ones in phonological distance,rest in phonological distance,zeros in featural distance,ones in featural distance,rest in featural distance
sag,Sango,5.2M,True,True,True,Sango,1.0,Atlantic-Congo,6096,1,190,8,8,11,180,45,2,152,161,0,38,5,8,186,44,7,148
mey,Hassaniyya,5.2M,True,False,True,Hassaniyya,,Afro-Asiatic,3176,1,181,17,6,7,186,28,3,168,55,0,144,0,0,199,22,10,167
kir,Kyrgyz,5.2M,True,False,True,Kirghiz,1.0,Turkic,406,1,191,7,7,2,190,20,5,174,1,0,198,1,4,194,1,12,186
tat,Tatar,5.1M,True,True,True,Tatar,1.0,Turkic,6693,1,186,12,8,23,168,148,2,49,187,0,12,2,1,196,143,7,49
ayh,Hadrami Spoken Arabic,5.1M,True,False,True,Hadrami Arabic,,Afro-Asiatic,3141,1,185,13,11,5,183,33,3,163,58,0,141,0,0,199,24,14,161
lir,Liberian English,5.1M,False,False,True,Liberian English,,Pidgin,1063,1,198,0,4,8,187,107,0,92,1,0,198,0,0,199,1,63,135
lmn,Lambadi,5.1M,True,False,True,Lambadi,,Indo-European,1286,1,159,39,9,4,186,58,4,137,1,0,198,0,13,186,1,15,183
san,Sanskrit,5.0M,True,False,True,Sanskrit,2.0,Indo-European,1313,1,162,36,9,14,176,79,4,116,1,0,198,0,0,199,1,34,164
gpe,Ghanaian Pidgin English,5.0M,False,False,True,Ghanaian Pidgin English,,Indo-European,2997,1,141,57,26,7,166,32,0,167,61,0,138,0,0,199,26,3,170
bew,Betawi,5.0M,True,False,True,Betawi,,Austronesian,1927,1,197,1,2,15,182,48,5,146,73,0,126,0,0,199,33,14,152
min,Minangkabau,4.9M,True,False,True,Minangkabau,1.0,Austronesian,1106,1,196,2,3,5,191,3,3,193,0,0,199,0,6,193,1,8,190
fuf,Pular,4.8M,True,False,True,Pular,,Atlantic-Congo,5846,1,189,9,5,11,183,132,17,50,159,0,40,0,0,199,128,17,54
ssw,Swati,4.7M,True,True,True,Swati,1.0,Atlantic-Congo,6557,1,191,7,7,17,175,132,1,66,182,0,17,2,2,195,88,53,58
scn,Sicilian,4.7M,True,False,True,Sicilian,1.0,Indo-European,6301,1,181,17,2,10,187,132,2,65,190,0,9,0,0,199,128,6,65
shn,Shan,4.7M,True,True,True,Shan,0.0,Tai-Kadai,6256,1,180,18,6,73,120,147,3,49,188,0,11,1,3,195,143,6,50
tiv,Tiv,4.6M,True,False,True,Tiv,0.0,Atlantic-Congo,1207,1,179,19,5,10,184,1,5,193,0,0,199,0,0,199,1,14,184
sou,Southern Thai,4.5M,False,False,True,Southern Thai,,Tai-Kadai,6429,1,186,12,17,71,111,101,0,98,191,0,8,0,0,199,96,6,97
lao,Lao,4.5M,True,False,True,Lao,2.0,Tai-Kadai,679,1,194,4,6,5,188,42,5,152,1,0,198,0,0,199,1,25,173
sid,Sidamo,4.4M,True,False,True,Sidamo,,Afro-Asiatic,777,1,178,20,9,3,187,1,6,192,1,0,198,0,0,199,1,10,188
bug,Bugis,4.4M,True,False,True,Buginese,1.0,Austronesian,925,1,192,6,3,3,193,1,5,193,1,0,198,0,0,199,1,8,190
awa,Awadhi,4.4M,True,False,True,Awadhi,0.0,Indo-European,1257,1,149,49,16,8,175,2,5,192,1,0,198,0,0,199,1,22,176
aln,Gheg Albanian,4.2M,True,False,True,Gheg Albanian,,Indo-European,3001,1,173,25,19,9,171,31,22,146,60,0,139,0,0,199,25,27,147
mtr,Mewari,4.2M,False,False,True,Mewari,,Indo-European,4789,1,178,20,5,6,188,99,4,96,178,0,21,0,0,199,95,15,89
csl,Chinese Sign Language,4.2M,True,False,True,Chinese Sign Language,0.0,Sign Language,2339,1,193,5,9,9,181,38,5,156,68,0,131,0,4,195,30,11,158
