code,language,speakers,URIEL,learned,distance,name,joshi,family
vah,Varhadi-Nagpuri,7.0M,False,False,True,Varhadi-Nagpuri,,Indo-European
ins,Indian Sign Language,6.8M,True,False,True,Indian Sign Language,,Sign Language
hrv,Croatian,6.8M,True,True,True,Croatian,4.0,Indo-European
tuk,Turkmen,6.6M,True,False,True,Turkmen,1.0,Turkic
gug,Paraguayan Guaraní,6.5M,True,False,True,Paraguayan Guaraní,,Tupian
ilo,Ilocano,6.5M,True,True,True,Iloko,1.0,Austronesian
gsw,Swiss German,6.5M,True,False,True,Swiss German,,Indo-European
hil,Hiligaynon,6.3M,True,True,True,Hiligaynon,0.0,Austronesian
nod,Northern Thai,6.0M,True,False,True,Northern Thai,,Tai-Kadai
bjj,Kanauji,6.0M,True,False,True,Kanauji,,Indo-European
dje,Zarma,6.0M,True,False,True,Zarma,,Songhay
fuc,Pulaar,5.9M,True,False,True,Pulaar,,Atlantic-Congo
shi,Tachelhit,5.8M,True,False,True,Tachelhit,,Afro-Asiatic
nap,Napoletano-Calabrese,5.7M,True,False,True,Neapolitan,1.0,Indo-European
fub,Adamawa Fulfulde,5.7M,True,True,True,Adamawa Fulfulde,,Atlantic-Congo
bns,Bundeli,5.6M,True,False,True,Bundeli,,Indo-European
dan,Danish,5.6M,True,True,True,Danish,3.0,Indo-European
fin,Finnish,5.6M,True,True,True,Finnish,4.0,Uralic
ewe,Éwé,5.5M,True,True,True,Ewe,1.0,Atlantic-Congo
mup,Malvi,5.4M,False,False,True,Malvi,,Indo-European
ayl,Libyan Spoken Arabic,5.4M,True,False,True,Libyan Arabic,,Afro-Asiatic
czh,Huizhou Chinese,5.4M,True,False,True,Huizhou Chinese,,Sino-Tibetan
nor,Norwegian,5.3M,True,False,True,Norwegian,,Indo-European
ckb,Central Kurdish,5.3M,True,True,True,Central Kurdish,,Indo-European
bci,Baoulé,5.3M,True,True,True,Baoulé,,Atlantic-Congo
kam,Kamba,5.3M,True,False,True,Kamba (Kenya),0.0,Atlantic-Congo
luo,Dholuo,5.3M,True,False,True,Luo (Kenya and Tanzania),,Nilotic
hno,Northern Hindko,5.3M,False,False,True,Northern Hindko,,Indo-European
sag,Sango,5.2M,True,True,True,Sango,1.0,Atlantic-Congo
mey,Hassaniyya,5.2M,True,False,True,Hassaniyya,,Afro-Asiatic
kir,Kyrgyz,5.2M,True,False,True,Kirghiz,1.0,Turkic
tat,Tatar,5.1M,True,True,True,Tatar,1.0,Turkic
ayh,Hadrami Spoken Arabic,5.1M,True,False,True,Hadrami Arabic,,Afro-Asiatic
lir,Liberian English,5.1M,False,False,True,Liberian English,,Pidgin
lmn,Lambadi,5.1M,True,False,True,Lambadi,,Indo-European
san,Sanskrit,5.0M,True,False,True,Sanskrit,2.0,Indo-European
gpe,Ghanaian Pidgin English,5.0M,False,False,True,Ghanaian Pidgin English,,Indo-European
bew,Betawi,5.0M,True,False,True,Betawi,,Austronesian
min,Minangkabau,4.9M,True,False,True,Minangkabau,1.0,Austronesian
fuf,Pular,4.8M,True,False,True,Pular,,Atlantic-Congo
ssw,Swati,4.7M,True,True,True,Swati,1.0,Atlantic-Congo
scn,Sicilian,4.7M,True,False,True,Sicilian,1.0,Indo-European
shn,Shan,4.7M,True,True,True,Shan,0.0,Tai-Kadai
tiv,Tiv,4.6M,True,False,True,Tiv,0.0,Atlantic-Congo
sou,Southern Thai,4.5M,False,False,True,Southern Thai,,Tai-Kadai
lao,Lao,4.5M,True,False,True,Lao,2.0,Tai-Kadai
sid,Sidamo,4.4M,True,False,True,Sidamo,,Afro-Asiatic
bug,Bugis,4.4M,True,False,True,Buginese,1.0,Austronesian
awa,Awadhi,4.4M,True,False,True,Awadhi,0.0,Indo-European
aln,Gheg Albanian,4.2M,True,False,True,Gheg Albanian,,Indo-European
mtr,Mewari,4.2M,False,False,True,Mewari,,Indo-European
csl,Chinese Sign Language,4.2M,True,False,True,Chinese Sign Language,0.0,Sign Language
