code,URIEL,joshi,family,# of NA properties,# of zero properties,# of one properties,mean distance,min distance,Q1 distance,median distance,Q3 distance,max distance,mode distance,# of zero distances,# of mode distances,# of one distances
mya,True,1.0,Sino-Tibetan,2,13,13,0.4522105527638192,0.0,0.4259,0.5228,0.5228,1.0,0.5228,1,1,1
apd,True,,Afro-Asiatic,28,0,0,0.5159246231155797,0.0,0.0002,0.879,0.879,1.0,0.879,1,71,3
arq,True,,Afro-Asiatic,28,0,0,0.09409296482412038,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,106,0
pol,True,4.0,Indo-European,6,13,9,0.6276793969849269,0.0,0.6162,0.6162,0.641,1.0,0.6162,1,6,11
lin,True,1.0,Atlantic-Congo,28,0,0,0.09608291457286423,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,105,0
ory,False,1.0,Indo-European,28,0,0,0.09213467336683405,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
ary,True,,Afro-Asiatic,21,4,3,0.8107065326633173,0.0,0.7877,0.7877,0.8831,1.0,0.7877,1,0,21
hsn,False,,Sino-Tibetan,28,0,0,0.0741085427135678,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,117,0
mal,True,1.0,Dravidian,28,0,0,0.43249899497487576,0.0002,0.0002,0.6936,0.6936,1.0,0.6936,0,67,6
snd,True,1.0,Indo-European,7,12,9,0.6347618090452284,0.0,0.6162,0.6162,0.6162,1.0,0.6162,1,10,17
ukr,True,3.0,Indo-European,28,0,0,0.11631959798994954,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
sun,True,1.0,Austronesian,28,0,0,0.2816929648241201,0.0002,0.0002,0.0002,0.7223,1.0,0.0002,0,127,1
ibo,True,1.0,Atlantic-Congo,1,15,12,0.5632532663316565,0.0,0.5456,0.5456,0.5456,1.0,0.5456,1,1,5
prs,True,0.0,Indo-European,28,0,0,0.47235326633165975,0.0002,0.0002,0.6667,0.6667,1.0,0.6667,0,61,7
pbu,False,,Indo-European,28,0,0,0.0775743718592963,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,112,0
uzn,True,,Turkic,26,1,1,0.2223648241206028,0.0,0.0002,0.0002,0.55715,1.0,0.0002,3,81,4
zul,True,2.0,Atlantic-Congo,4,11,13,0.4282517587939698,0.0,0.44794999999999996,0.5228,0.5228,1.0,0.5228,1,5,7
skr,False,,Indo-European,28,0,0,0.12506934673366807,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,113,0
npi,False,1.0,Indo-European,27,1,0,0.10015728643216061,0.0002,0.0002,0.0002,0.0002,0.879,0.0002,0,110,0
aec,True,,Afro-Asiatic,28,0,0,0.4598371859296492,0.0002,0.0002,0.7223,0.7223,1.0,0.7223,0,66,7
