code,URIEL,joshi,family
bam,True,1.0,Mande
tsn,True,2.0,Atlantic-Congo
nso,True,1.0,Atlantic-Congo
sot,True,0.0,Atlantic-Congo
ell,True,,Indo-European
swe,True,4.0,Indo-European
hat,True,2.0,Indo-European
ctg,True,,Indo-European
run,True,0.0,Atlantic-Congo
dyu,True,0.0,Mande
dcc,True,,Indo-European
hun,True,4.0,Uralic
ayn,True,,Afro-Asiatic
ktu,True,0.0,Atlantic-Congo
wol,True,2.0,Atlantic-Congo
ces,True,4.0,Indo-European
sck,False,,Indo-European
wes,False,,Indo-European
mos,True,,Atlantic-Congo
acq,True,,Afro-Asiatic
mnp,False,,Sino-Tibetan
aeb,True,,Afro-Asiatic
syl,False,,Indo-European
kng,True,,Atlantic-Congo
swc,False,,Atlantic-Congo
afb,True,,Afro-Asiatic
lug,True,,Atlantic-Congo
cdo,True,1.0,Sino-Tibetan
sna,True,1.0,Atlantic-Congo
rkt,False,,Indo-European
acw,True,,Afro-Asiatic
ibb,True,0.0,Atlantic-Congo
uig,True,1.0,Turkic
ayp,True,,Afro-Asiatic
srp,True,4.0,Indo-European
tso,True,1.0,Atlantic-Congo
aka,True,1.0,Atlantic-Congo
bgc,True,,Indo-European
hae,True,,Afro-Asiatic
heb,True,3.0,Afro-Asiatic
cat,True,4.0,Indo-European
azj,True,,Turkic
knc,True,,Saharan
tir,True,2.0,Afro-Asiatic
pst,True,,Indo-European
gax,True,,Afro-Asiatic
tgk,True,1.0,Indo-European
kri,True,,Indo-European
kik,True,1.0,Atlantic-Congo
suk,True,0.0,Atlantic-Congo
rwr,False,,Indo-European
umb,True,0.0,Atlantic-Congo
mad,True,0.0,Austronesian
bul,True,3.0,Indo-European
sat,True,1.0,Austroasiatic
plt,True,,Austronesian
kab,True,1.0,Afro-Asiatic
slk,True,3.0,Indo-European
kas,True,1.0,Indo-European
lua,True,,Atlantic-Congo
vah,False,,Indo-European
ins,True,,Sign Language
hrv,True,4.0,Indo-European
tuk,True,1.0,Turkic
gug,True,,Tupian
ilo,True,1.0,Austronesian
gsw,True,,Indo-European
hil,True,0.0,Austronesian
nod,True,,Tai-Kadai
bjj,True,,Indo-European
dje,True,,Songhay
fuc,True,,Atlantic-Congo
shi,True,,Afro-Asiatic
nap,True,1.0,Indo-European
fub,True,,Atlantic-Congo
bns,True,,Indo-European
dan,True,3.0,Indo-European
fin,True,4.0,Uralic
ewe,True,1.0,Atlantic-Congo
mup,False,,Indo-European
ayl,True,,Afro-Asiatic
czh,True,,Sino-Tibetan
nor,True,,Indo-European
ckb,True,,Indo-European
bci,True,,Atlantic-Congo
kam,True,0.0,Atlantic-Congo
luo,True,,Nilotic
hno,False,,Indo-European
sag,True,1.0,Atlantic-Congo
mey,True,,Afro-Asiatic
kir,True,1.0,Turkic
tat,True,1.0,Turkic
ayh,True,,Afro-Asiatic
lir,False,,Pidgin
lmn,True,,Indo-European
san,True,2.0,Indo-European
gpe,False,,Indo-European
bew,True,,Austronesian
min,True,1.0,Austronesian
fuf,True,,Atlantic-Congo
ssw,True,1.0,Atlantic-Congo
scn,True,1.0,Indo-European
shn,True,0.0,Tai-Kadai
tiv,True,0.0,Atlantic-Congo
sou,False,,Tai-Kadai
lao,True,2.0,Tai-Kadai
sid,True,,Afro-Asiatic
bug,True,1.0,Austronesian
awa,True,0.0,Indo-European
aln,True,,Indo-European
mtr,False,,Indo-European
csl,True,0.0,Sign Language
